"interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
2018-04-01,28,"US-AL-606","today+5-y",NA,"web",1236
2018-04-08,56,"US-AL-606","today+5-y",NA,"web",1236
2018-04-15,28,"US-AL-606","today+5-y",NA,"web",1236
2018-04-22,0,"US-AL-606","today+5-y",NA,"web",1236
2018-04-29,28,"US-AL-606","today+5-y",NA,"web",1236
2018-05-06,56,"US-AL-606","today+5-y",NA,"web",1236
2018-05-13,56,"US-AL-606","today+5-y",NA,"web",1236
2018-05-20,28,"US-AL-606","today+5-y",NA,"web",1236
2018-05-27,38,"US-AL-606","today+5-y",NA,"web",1236
2018-06-03,0,"US-AL-606","today+5-y",NA,"web",1236
2018-06-10,27,"US-AL-606","today+5-y",NA,"web",1236
2018-06-17,42,"US-AL-606","today+5-y",NA,"web",1236
2018-06-24,28,"US-AL-606","today+5-y",NA,"web",1236
2018-07-01,42,"US-AL-606","today+5-y",NA,"web",1236
2018-07-08,28,"US-AL-606","today+5-y",NA,"web",1236
2018-07-15,57,"US-AL-606","today+5-y",NA,"web",1236
2018-07-22,56,"US-AL-606","today+5-y",NA,"web",1236
2018-07-29,28,"US-AL-606","today+5-y",NA,"web",1236
2018-08-05,27,"US-AL-606","today+5-y",NA,"web",1236
2018-08-12,42,"US-AL-606","today+5-y",NA,"web",1236
2018-08-19,57,"US-AL-606","today+5-y",NA,"web",1236
2018-08-26,0,"US-AL-606","today+5-y",NA,"web",1236
2018-09-02,27,"US-AL-606","today+5-y",NA,"web",1236
2018-09-09,27,"US-AL-606","today+5-y",NA,"web",1236
2018-09-16,27,"US-AL-606","today+5-y",NA,"web",1236
2018-09-23,27,"US-AL-606","today+5-y",NA,"web",1236
2018-09-30,27,"US-AL-606","today+5-y",NA,"web",1236
2018-10-07,27,"US-AL-606","today+5-y",NA,"web",1236
2018-10-14,28,"US-AL-606","today+5-y",NA,"web",1236
2018-10-21,41,"US-AL-606","today+5-y",NA,"web",1236
2018-10-28,28,"US-AL-606","today+5-y",NA,"web",1236
2018-11-04,0,"US-AL-606","today+5-y",NA,"web",1236
2018-11-11,27,"US-AL-606","today+5-y",NA,"web",1236
2018-11-18,55,"US-AL-606","today+5-y",NA,"web",1236
2018-11-25,0,"US-AL-606","today+5-y",NA,"web",1236
2018-12-02,41,"US-AL-606","today+5-y",NA,"web",1236
2018-12-09,0,"US-AL-606","today+5-y",NA,"web",1236
2018-12-16,28,"US-AL-606","today+5-y",NA,"web",1236
2018-12-23,31,"US-AL-606","today+5-y",NA,"web",1236
2018-12-30,30,"US-AL-606","today+5-y",NA,"web",1236
2019-01-06,83,"US-AL-606","today+5-y",NA,"web",1236
2019-01-13,54,"US-AL-606","today+5-y",NA,"web",1236
2019-01-20,26,"US-AL-606","today+5-y",NA,"web",1236
2019-01-27,40,"US-AL-606","today+5-y",NA,"web",1236
2019-02-03,27,"US-AL-606","today+5-y",NA,"web",1236
2019-02-10,26,"US-AL-606","today+5-y",NA,"web",1236
2019-02-17,26,"US-AL-606","today+5-y",NA,"web",1236
2019-02-24,39,"US-AL-606","today+5-y",NA,"web",1236
2019-03-03,27,"US-AL-606","today+5-y",NA,"web",1236
2019-03-10,27,"US-AL-606","today+5-y",NA,"web",1236
2019-03-17,41,"US-AL-606","today+5-y",NA,"web",1236
2019-03-24,27,"US-AL-606","today+5-y",NA,"web",1236
2019-03-31,27,"US-AL-606","today+5-y",NA,"web",1236
2019-04-07,41,"US-AL-606","today+5-y",NA,"web",1236
2019-04-14,28,"US-AL-606","today+5-y",NA,"web",1236
2019-04-21,28,"US-AL-606","today+5-y",NA,"web",1236
2019-04-28,41,"US-AL-606","today+5-y",NA,"web",1236
2019-05-05,27,"US-AL-606","today+5-y",NA,"web",1236
2019-05-12,54,"US-AL-606","today+5-y",NA,"web",1236
2019-05-19,27,"US-AL-606","today+5-y",NA,"web",1236
2019-05-26,27,"US-AL-606","today+5-y",NA,"web",1236
2019-06-02,40,"US-AL-606","today+5-y",NA,"web",1236
2019-06-09,40,"US-AL-606","today+5-y",NA,"web",1236
2019-06-16,27,"US-AL-606","today+5-y",NA,"web",1236
2019-06-23,27,"US-AL-606","today+5-y",NA,"web",1236
2019-06-30,54,"US-AL-606","today+5-y",NA,"web",1236
2019-07-07,27,"US-AL-606","today+5-y",NA,"web",1236
2019-07-14,27,"US-AL-606","today+5-y",NA,"web",1236
2019-07-21,0,"US-AL-606","today+5-y",NA,"web",1236
2019-07-28,46,"US-AL-606","today+5-y",NA,"web",1236
2019-08-04,0,"US-AL-606","today+5-y",NA,"web",1236
2019-08-11,0,"US-AL-606","today+5-y",NA,"web",1236
2019-08-18,54,"US-AL-606","today+5-y",NA,"web",1236
2019-08-25,53,"US-AL-606","today+5-y",NA,"web",1236
2019-09-01,26,"US-AL-606","today+5-y",NA,"web",1236
2019-09-08,39,"US-AL-606","today+5-y",NA,"web",1236
2019-09-15,51,"US-AL-606","today+5-y",NA,"web",1236
2019-09-22,25,"US-AL-606","today+5-y",NA,"web",1236
2019-09-29,38,"US-AL-606","today+5-y",NA,"web",1236
2019-10-06,25,"US-AL-606","today+5-y",NA,"web",1236
2019-10-13,25,"US-AL-606","today+5-y",NA,"web",1236
2019-10-20,0,"US-AL-606","today+5-y",NA,"web",1236
2019-10-27,25,"US-AL-606","today+5-y",NA,"web",1236
2019-11-03,25,"US-AL-606","today+5-y",NA,"web",1236
2019-11-10,25,"US-AL-606","today+5-y",NA,"web",1236
2019-11-17,25,"US-AL-606","today+5-y",NA,"web",1236
2019-11-24,25,"US-AL-606","today+5-y",NA,"web",1236
2019-12-01,25,"US-AL-606","today+5-y",NA,"web",1236
2019-12-08,50,"US-AL-606","today+5-y",NA,"web",1236
2019-12-15,25,"US-AL-606","today+5-y",NA,"web",1236
2019-12-22,28,"US-AL-606","today+5-y",NA,"web",1236
2019-12-29,40,"US-AL-606","today+5-y",NA,"web",1236
2020-01-05,25,"US-AL-606","today+5-y",NA,"web",1236
2020-01-12,24,"US-AL-606","today+5-y",NA,"web",1236
2020-01-19,49,"US-AL-606","today+5-y",NA,"web",1236
2020-01-26,48,"US-AL-606","today+5-y",NA,"web",1236
2020-02-02,48,"US-AL-606","today+5-y",NA,"web",1236
2020-02-09,41,"US-AL-606","today+5-y",NA,"web",1236
