"","interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
"188",2018-09-16,55,"US-MO-609","today+5-y",NA,"web",1236
"189",2018-09-23,36,"US-MO-609","today+5-y",NA,"web",1236
"190",2018-09-30,53,"US-MO-609","today+5-y",NA,"web",1236
"191",2018-10-07,49,"US-MO-609","today+5-y",NA,"web",1236
"192",2018-10-14,50,"US-MO-609","today+5-y",NA,"web",1236
"193",2018-10-21,34,"US-MO-609","today+5-y",NA,"web",1236
"194",2018-10-28,67,"US-MO-609","today+5-y",NA,"web",1236
"195",2018-11-04,57,"US-MO-609","today+5-y",NA,"web",1236
"196",2018-11-11,55,"US-MO-609","today+5-y",NA,"web",1236
"197",2018-11-18,41,"US-MO-609","today+5-y",NA,"web",1236
"198",2018-11-25,67,"US-MO-609","today+5-y",NA,"web",1236
"199",2018-12-02,66,"US-MO-609","today+5-y",NA,"web",1236
"200",2018-12-09,28,"US-MO-609","today+5-y",NA,"web",1236
"201",2018-12-16,55,"US-MO-609","today+5-y",NA,"web",1236
"202",2018-12-23,67,"US-MO-609","today+5-y",NA,"web",1236
"203",2018-12-30,74,"US-MO-609","today+5-y",NA,"web",1236
"204",2019-01-06,65,"US-MO-609","today+5-y",NA,"web",1236
"205",2019-01-13,80,"US-MO-609","today+5-y",NA,"web",1236
"206",2019-01-20,41,"US-MO-609","today+5-y",NA,"web",1236
"207",2019-01-27,48,"US-MO-609","today+5-y",NA,"web",1236
"208",2019-02-03,56,"US-MO-609","today+5-y",NA,"web",1236
"209",2019-02-10,60,"US-MO-609","today+5-y",NA,"web",1236
"210",2019-02-17,66,"US-MO-609","today+5-y",NA,"web",1236
"211",2019-02-24,60,"US-MO-609","today+5-y",NA,"web",1236
"212",2019-03-03,59,"US-MO-609","today+5-y",NA,"web",1236
"213",2019-03-10,40,"US-MO-609","today+5-y",NA,"web",1236
"214",2019-03-17,40,"US-MO-609","today+5-y",NA,"web",1236
"215",2019-03-24,53,"US-MO-609","today+5-y",NA,"web",1236
"216",2019-03-31,47,"US-MO-609","today+5-y",NA,"web",1236
"217",2019-04-07,40,"US-MO-609","today+5-y",NA,"web",1236
"218",2019-04-14,53,"US-MO-609","today+5-y",NA,"web",1236
"219",2019-04-21,58,"US-MO-609","today+5-y",NA,"web",1236
"220",2019-04-28,64,"US-MO-609","today+5-y",NA,"web",1236
"221",2019-05-05,30,"US-MO-609","today+5-y",NA,"web",1236
"222",2019-05-12,42,"US-MO-609","today+5-y",NA,"web",1236
"223",2019-05-19,65,"US-MO-609","today+5-y",NA,"web",1236
"224",2019-05-26,50,"US-MO-609","today+5-y",NA,"web",1236
"225",2019-06-02,52,"US-MO-609","today+5-y",NA,"web",1236
"226",2019-06-09,58,"US-MO-609","today+5-y",NA,"web",1236
"227",2019-06-16,49,"US-MO-609","today+5-y",NA,"web",1236
"228",2019-06-23,54,"US-MO-609","today+5-y",NA,"web",1236
"229",2019-06-30,42,"US-MO-609","today+5-y",NA,"web",1236
"230",2019-07-07,44,"US-MO-609","today+5-y",NA,"web",1236
"231",2019-07-14,72,"US-MO-609","today+5-y",NA,"web",1236
"232",2019-07-21,41,"US-MO-609","today+5-y",NA,"web",1236
"233",2019-07-28,48,"US-MO-609","today+5-y",NA,"web",1236
"234",2019-08-04,78,"US-MO-609","today+5-y",NA,"web",1236
"235",2019-08-11,47,"US-MO-609","today+5-y",NA,"web",1236
"236",2019-08-18,46,"US-MO-609","today+5-y",NA,"web",1236
"237",2019-08-25,66,"US-MO-609","today+5-y",NA,"web",1236
"238",2019-09-01,47,"US-MO-609","today+5-y",NA,"web",1236
"239",2019-09-08,48,"US-MO-609","today+5-y",NA,"web",1236
"240",2019-09-15,46,"US-MO-609","today+5-y",NA,"web",1236
"241",2019-09-22,50,"US-MO-609","today+5-y",NA,"web",1236
"242",2019-09-29,50,"US-MO-609","today+5-y",NA,"web",1236
"243",2019-10-06,57,"US-MO-609","today+5-y",NA,"web",1236
"244",2019-10-13,43,"US-MO-609","today+5-y",NA,"web",1236
"245",2019-10-20,69,"US-MO-609","today+5-y",NA,"web",1236
"246",2019-10-27,47,"US-MO-609","today+5-y",NA,"web",1236
"247",2019-11-03,35,"US-MO-609","today+5-y",NA,"web",1236
"248",2019-11-10,48,"US-MO-609","today+5-y",NA,"web",1236
"249",2019-11-17,55,"US-MO-609","today+5-y",NA,"web",1236
"250",2019-11-24,52,"US-MO-609","today+5-y",NA,"web",1236
"251",2019-12-01,37,"US-MO-609","today+5-y",NA,"web",1236
"252",2019-12-08,65,"US-MO-609","today+5-y",NA,"web",1236
"253",2019-12-15,50,"US-MO-609","today+5-y",NA,"web",1236
"254",2019-12-22,54,"US-MO-609","today+5-y",NA,"web",1236
"255",2019-12-29,50,"US-MO-609","today+5-y",NA,"web",1236
"256",2020-01-05,67,"US-MO-609","today+5-y",NA,"web",1236
"257",2020-01-12,72,"US-MO-609","today+5-y",NA,"web",1236
"258",2020-01-19,59,"US-MO-609","today+5-y",NA,"web",1236
"259",2020-01-26,49,"US-MO-609","today+5-y",NA,"web",1236
"260",2020-02-02,37,"US-MO-609","today+5-y",NA,"web",1236
"261",2020-02-09,64,"US-MO-609","today+5-y",NA,"web",1236
