"","interest_over_time.date","interest_over_time.hits","interest_over_time.geo","interest_over_time.time","interest_over_time.keyword","interest_over_time.gprop","interest_over_time.category"
"149",2017-12-17,43,"US-NM-790","today+5-y",NA,"web",1236
"150",2017-12-24,53,"US-NM-790","today+5-y",NA,"web",1236
"151",2017-12-31,57,"US-NM-790","today+5-y",NA,"web",1236
"152",2018-01-07,53,"US-NM-790","today+5-y",NA,"web",1236
"153",2018-01-14,63,"US-NM-790","today+5-y",NA,"web",1236
"154",2018-01-21,56,"US-NM-790","today+5-y",NA,"web",1236
"155",2018-01-28,56,"US-NM-790","today+5-y",NA,"web",1236
"156",2018-02-04,56,"US-NM-790","today+5-y",NA,"web",1236
"157",2018-02-11,37,"US-NM-790","today+5-y",NA,"web",1236
"158",2018-02-18,59,"US-NM-790","today+5-y",NA,"web",1236
"159",2018-02-25,29,"US-NM-790","today+5-y",NA,"web",1236
"160",2018-03-04,71,"US-NM-790","today+5-y",NA,"web",1236
"161",2018-03-11,55,"US-NM-790","today+5-y",NA,"web",1236
"162",2018-03-18,46,"US-NM-790","today+5-y",NA,"web",1236
"163",2018-03-25,44,"US-NM-790","today+5-y",NA,"web",1236
"164",2018-04-01,81,"US-NM-790","today+5-y",NA,"web",1236
"165",2018-04-08,66,"US-NM-790","today+5-y",NA,"web",1236
"166",2018-04-15,89,"US-NM-790","today+5-y",NA,"web",1236
"167",2018-04-22,40,"US-NM-790","today+5-y",NA,"web",1236
"168",2018-04-29,37,"US-NM-790","today+5-y",NA,"web",1236
"169",2018-05-06,73,"US-NM-790","today+5-y",NA,"web",1236
"170",2018-05-13,53,"US-NM-790","today+5-y",NA,"web",1236
"171",2018-05-20,70,"US-NM-790","today+5-y",NA,"web",1236
"172",2018-05-27,50,"US-NM-790","today+5-y",NA,"web",1236
"173",2018-06-03,57,"US-NM-790","today+5-y",NA,"web",1236
"174",2018-06-10,61,"US-NM-790","today+5-y",NA,"web",1236
"175",2018-06-17,79,"US-NM-790","today+5-y",NA,"web",1236
"176",2018-06-24,59,"US-NM-790","today+5-y",NA,"web",1236
"177",2018-07-01,56,"US-NM-790","today+5-y",NA,"web",1236
"178",2018-07-08,82,"US-NM-790","today+5-y",NA,"web",1236
"179",2018-07-15,75,"US-NM-790","today+5-y",NA,"web",1236
"180",2018-07-22,33,"US-NM-790","today+5-y",NA,"web",1236
"181",2018-07-29,33,"US-NM-790","today+5-y",NA,"web",1236
"182",2018-08-05,43,"US-NM-790","today+5-y",NA,"web",1236
"183",2018-08-12,40,"US-NM-790","today+5-y",NA,"web",1236
"184",2018-08-19,81,"US-NM-790","today+5-y",NA,"web",1236
"185",2018-08-26,39,"US-NM-790","today+5-y",NA,"web",1236
"186",2018-09-02,45,"US-NM-790","today+5-y",NA,"web",1236
"187",2018-09-09,52,"US-NM-790","today+5-y",NA,"web",1236
"188",2018-09-16,71,"US-NM-790","today+5-y",NA,"web",1236
"189",2018-09-23,70,"US-NM-790","today+5-y",NA,"web",1236
"190",2018-09-30,74,"US-NM-790","today+5-y",NA,"web",1236
"191",2018-10-07,55,"US-NM-790","today+5-y",NA,"web",1236
"192",2018-10-14,49,"US-NM-790","today+5-y",NA,"web",1236
"193",2018-10-21,49,"US-NM-790","today+5-y",NA,"web",1236
"194",2018-10-28,52,"US-NM-790","today+5-y",NA,"web",1236
"195",2018-11-04,51,"US-NM-790","today+5-y",NA,"web",1236
"196",2018-11-11,36,"US-NM-790","today+5-y",NA,"web",1236
"197",2018-11-18,56,"US-NM-790","today+5-y",NA,"web",1236
"198",2018-11-25,48,"US-NM-790","today+5-y",NA,"web",1236
"199",2018-12-02,55,"US-NM-790","today+5-y",NA,"web",1236
"200",2018-12-09,49,"US-NM-790","today+5-y",NA,"web",1236
"201",2018-12-16,57,"US-NM-790","today+5-y",NA,"web",1236
"202",2018-12-23,40,"US-NM-790","today+5-y",NA,"web",1236
"203",2018-12-30,70,"US-NM-790","today+5-y",NA,"web",1236
"204",2019-01-06,59,"US-NM-790","today+5-y",NA,"web",1236
"205",2019-01-13,51,"US-NM-790","today+5-y",NA,"web",1236
"206",2019-01-20,54,"US-NM-790","today+5-y",NA,"web",1236
"207",2019-01-27,50,"US-NM-790","today+5-y",NA,"web",1236
"208",2019-02-03,66,"US-NM-790","today+5-y",NA,"web",1236
"209",2019-02-10,34,"US-NM-790","today+5-y",NA,"web",1236
"210",2019-02-17,66,"US-NM-790","today+5-y",NA,"web",1236
"211",2019-02-24,41,"US-NM-790","today+5-y",NA,"web",1236
"212",2019-03-03,70,"US-NM-790","today+5-y",NA,"web",1236
"213",2019-03-10,73,"US-NM-790","today+5-y",NA,"web",1236
"214",2019-03-17,55,"US-NM-790","today+5-y",NA,"web",1236
"215",2019-03-24,57,"US-NM-790","today+5-y",NA,"web",1236
"216",2019-03-31,77,"US-NM-790","today+5-y",NA,"web",1236
"217",2019-04-07,52,"US-NM-790","today+5-y",NA,"web",1236
"218",2019-04-14,73,"US-NM-790","today+5-y",NA,"web",1236
"219",2019-04-21,30,"US-NM-790","today+5-y",NA,"web",1236
"220",2019-04-28,55,"US-NM-790","today+5-y",NA,"web",1236
"221",2019-05-05,42,"US-NM-790","today+5-y",NA,"web",1236
"222",2019-05-12,52,"US-NM-790","today+5-y",NA,"web",1236
"223",2019-05-19,38,"US-NM-790","today+5-y",NA,"web",1236
"224",2019-05-26,54,"US-NM-790","today+5-y",NA,"web",1236
"225",2019-06-02,60,"US-NM-790","today+5-y",NA,"web",1236
"226",2019-06-09,41,"US-NM-790","today+5-y",NA,"web",1236
"227",2019-06-16,55,"US-NM-790","today+5-y",NA,"web",1236
"228",2019-06-23,67,"US-NM-790","today+5-y",NA,"web",1236
"229",2019-06-30,42,"US-NM-790","today+5-y",NA,"web",1236
"230",2019-07-07,54,"US-NM-790","today+5-y",NA,"web",1236
"231",2019-07-14,45,"US-NM-790","today+5-y",NA,"web",1236
"232",2019-07-21,73,"US-NM-790","today+5-y",NA,"web",1236
"233",2019-07-28,36,"US-NM-790","today+5-y",NA,"web",1236
"234",2019-08-04,56,"US-NM-790","today+5-y",NA,"web",1236
"235",2019-08-11,33,"US-NM-790","today+5-y",NA,"web",1236
"236",2019-08-18,32,"US-NM-790","today+5-y",NA,"web",1236
"237",2019-08-25,53,"US-NM-790","today+5-y",NA,"web",1236
"238",2019-09-01,46,"US-NM-790","today+5-y",NA,"web",1236
"239",2019-09-08,46,"US-NM-790","today+5-y",NA,"web",1236
"240",2019-09-15,46,"US-NM-790","today+5-y",NA,"web",1236
"241",2019-09-22,45,"US-NM-790","today+5-y",NA,"web",1236
"242",2019-09-29,36,"US-NM-790","today+5-y",NA,"web",1236
"243",2019-10-06,60,"US-NM-790","today+5-y",NA,"web",1236
"244",2019-10-13,36,"US-NM-790","today+5-y",NA,"web",1236
"245",2019-10-20,57,"US-NM-790","today+5-y",NA,"web",1236
"246",2019-10-27,48,"US-NM-790","today+5-y",NA,"web",1236
"247",2019-11-03,53,"US-NM-790","today+5-y",NA,"web",1236
"248",2019-11-10,38,"US-NM-790","today+5-y",NA,"web",1236
"249",2019-11-17,50,"US-NM-790","today+5-y",NA,"web",1236
"250",2019-11-24,35,"US-NM-790","today+5-y",NA,"web",1236
"251",2019-12-01,57,"US-NM-790","today+5-y",NA,"web",1236
"252",2019-12-08,69,"US-NM-790","today+5-y",NA,"web",1236
"253",2019-12-15,45,"US-NM-790","today+5-y",NA,"web",1236
"254",2019-12-22,53,"US-NM-790","today+5-y",NA,"web",1236
"255",2019-12-29,50,"US-NM-790","today+5-y",NA,"web",1236
"256",2020-01-05,47,"US-NM-790","today+5-y",NA,"web",1236
"257",2020-01-12,53,"US-NM-790","today+5-y",NA,"web",1236
"258",2020-01-19,55,"US-NM-790","today+5-y",NA,"web",1236
"259",2020-01-26,57,"US-NM-790","today+5-y",NA,"web",1236
"260",2020-02-02,43,"US-NM-790","today+5-y",NA,"web",1236
"261",2020-02-09,87,"US-NM-790","today+5-y",NA,"web",1236
